DesafioTexto,ImpactoPandemia,ManterTexto,OndeTrabalhaSimples,TimeDivisao,ContratoOrig,ContratoSimples,Salario,salario2019,Escolaridade?,AnosExperienciaUX,Nivel,Lideranca,Funcao,Genero,LGBTQ,Filhos,FilhosSimples,Raca,deficiencia,deficienciaSimples,Estado,Cidade,Idade,FaixaIdade
"Viver em uma casa com outra pessoa trabalhando remoto, competir com internet, reuniões paralelas etc.",A empresa foi positivamente afetada (crescimento no período),"Com certeza trabalhar de casa ou futuramente escolher de onde eu quero trabalhar (casa, café, coworking)",Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),PJ,PJ,5200,5000,Superior completo,De 4 a 5,Pleno,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
Se sentir muito isolada.,A empresa foi levemente afetada (perda de receita de até 15%),Trabalhar alguns dias em casa.,Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,8000,4500,Superior completo,De 6 a 10,Pleno,Analista,Designer de interação,Feminino,Não,Não,Não,Pardo,Não tenho,Não,Pernambuco (PE),Recife,25,24 - 29
,A empresa foi positivamente afetada (crescimento no período),,Start up,Equipe que atende a outras áreas,CLT,CLT,7500,4500,Superior completo,De 1 a 3,Pleno,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,25,24 - 29
Não poder trabalhar em equipe direito,A empresa foi positivamente afetada (crescimento no período),Tempo para praticar yoga e desenhar,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,6500,4500,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Blumenau,25,24 - 29
,A empresa foi positivamente afetada (crescimento no período),,Empresa,Modelo híbrido / Cross: squads e visão central,CLT,CLT,9000,4500,Superior completo,De 4 a 5,Sênior,Analista,UX Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
,A empresa foi positivamente afetada (crescimento no período),,Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,6200,4450,Ensino médio completo / superior incompleto,De 1 a 3,Pleno,Analista,Designer de produto,Outro ou não binário,Sim,Não,Não,Negro,Não tenho,Não,Rio de Janeiro (RJ),Rio de Janeiro,25,24 - 29
Ter que trocar de emprego 2 vezes,A empresa foi afetada de forma relevante (perda de receita entre 15% e 50%),"Liberdade de horários, de formatos de entregas",Outro,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,6200,4200,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,25,24 - 29
,A empresa foi levemente afetada (perda de receita de até 15%),,Start up,Modelo híbrido / Cross: squads e visão central,CLT,CLT,5500,4200,Mestrado,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Santos,25,24 - 29
Acostumar no início,A empresa foi positivamente afetada (crescimento no período),Flexibilidade e autonomia,Agência ou consultoria,O time é uma banda de uma pessoa só,CLT,CLT,5000,4200,Superior completo,Menos de 1,Pleno,Analista,UX Designer,Masculino,Sim,Não,Não,Negro,Não tenho,Não,Rio de Janeiro (RJ),Rio de Janeiro,25,24 - 29
"Eu troquei de trabalho durante a pandemia e o maior desafio tem sido conectar com os projetos e equipes. Alinhas as expectativas principalmente, porque não dá pra saber se tô fazendo o trabalho como é esperado ou não. Ainda parece muito um trabalho de consultoria ou de demanda, tá difícil fazer o trabalho de fato e entender onde eu encaixo na equipe.",A empresa foi positivamente afetada (crescimento no período),Só poder ter a liberdade de trabalhar remoto caso eu queira sem ter que me preocupar com a insegurança das pessoas se tô trabalhando ou não.,Empresa,Modelo híbrido / Cross: squads e visão central,CLT,CLT,4800,4137,Especialização,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Sim,Não,Não,Pardo,Não tenho,Não,Rio Grande do Sul (RS),Porto Alegre,25,24 - 29
,A empresa foi levemente afetada (perda de receita de até 15%),,Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,6000,4000,Especialização,De 1 a 3,Pleno,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
Não ter ar condicionado,A empresa foi positivamente afetada (crescimento no período),Pretendo continuar da forma que estou,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4500,3800,Mestrado,De 4 a 5,Líder técnico ou especialista,Liderança,Operações em design (DesignOps),Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
Não conseguir fazer as dinâmicas ou ver meus colegas,A empresa foi levemente afetada (perda de receita de até 15%),Gosto de poder não precisar acordar tão cedo e de não ter q lidar com trânsito,Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4200,3800,Superior completo,De 1 a 3,Pleno,Analista,UX Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,Paraná (PR),Curitiba,25,24 - 29
"Conciliar o psicológico com o trabalho. Ter poucas válvulas de escape para esse momento estressante (Não poder sair, viajar, encontrar os amigos) e ainda estar trabalhando todos os dias no mesmo ambiente domestico.",A empresa foi levemente afetada (perda de receita de até 15%),Ter a flexibilidade de horários e autonomia que o Home Office trouxe.,Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4200,3700,Superior completo,De 1 a 3,Júnior,Analista,Designer de produto,Feminino,Sim,Não,Não,Pardo,Não tenho,Não,Rio de Janeiro (RJ),São Gonçalo,25,24 - 29
Concentração e foco no trabalho estando em tempo integral convivendo com a família.,A empresa foi positivamente afetada (crescimento no período),Ter mais flexibilidade e um dia home-office,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4200,3640,Superior completo,De 1 a 3,Júnior,Analista,Designer de produto,Feminino,Sim,Não,Não,Negro,Não tenho,Não,Rio Grande do Sul (RS),Gravataí,25,24 - 29
Adaptar a rotina e ter foco,A empresa foi levemente afetada (perda de receita de até 15%),Reuniões mais curtas,Agência ou consultoria,Equipe que atende a outras áreas,CLT,CLT,5200,3600,Superior completo,De 4 a 5,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Campinas,25,24 - 29
A falta da proximidade com meus colegas de trabalho que deixavam o dia a dia mais leve,A empresa foi levemente afetada (perda de receita de até 15%),A flexibilidade de horários,Empresa,Modelo híbrido / Cross: squads e visão central,CLT,CLT,3900,3500,Especialização,De 1 a 3,Júnior,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Não,Não,Não,Asiático,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
"Como a equipe em que eu trabalhava era um pouco desestruturada por conta de falta de investimento da empresa, nós acabamos sacrificando muitas etapas do trabalho de ux, como testes, e também tivemos que fazer muitas horas extras sem valorização.",A empresa foi levemente afetada (perda de receita de até 15%),"home office algumas vezes na semana, ter mais tranquilidade de saber que o mundo continua mesmo sem mim.",Start up,É distribuído em diferentes squads / grupos / equipes,PJ,PJ,7500,3500,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Masculino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
,A empresa foi positivamente afetada (crescimento no período),,Start up,Modelo híbrido / Cross: squads e visão central,CLT,CLT,7200,3500,Ensino médio completo / superior incompleto,De 1 a 3,Pleno,Analista,UX Designer,Masculino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,25,24 - 29
Ter que lidar com a presença constante dos meus familiares em casa o tempo todo.,A empresa foi gravemente afetada (perda de receita superior a 50%),Constante contato e alimento com pessoas do time de outros estados,Empresa,Modelo híbrido / Cross: squads e visão central,CLT,CLT,4500,3500,Especialização,De 1 a 3,Pleno,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Masculino,Sim,Não,Não,Pardo,Não tenho,Não,Rio de Janeiro (RJ),Rio de Janeiro,25,24 - 29
"Equiíbrio entre casa e trabalho. Muitas vezes se mistura, e foi difícil criar uma rotina.",A empresa foi afetada de forma relevante (perda de receita entre 15% e 50%),"rotina de uma vida mais saudável. Consegui mais tempo para praticar exercícios, e também de estudo.",Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),CLT,CLT,4120,3500,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,Pernambuco (PE),Recife,25,24 - 29
manter uma comunicação sem fricção com o time em que trabalho,A empresa foi positivamente afetada (crescimento no período),"O home office me ajudou muito por questões de morar em outra cidade, não perder tempo me deslocando para o escritório.",Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4100,3500,Ensino médio completo / superior incompleto,De 1 a 3,Pleno,Analista,UX Designer,Masculino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Salto,25,24 - 29
Não creio que tenha surgido nenhum grande desafio desde o início da pandemia ou por causa dela.,A empresa foi afetada de forma relevante (perda de receita entre 15% e 50%),Gostaria de me manter majoritariamente home-office e com horários flexíveis.,Start up,Equipe que atende a outras áreas,CLT,CLT,3500,3500,Ensino médio completo / superior incompleto,De 4 a 5,Pleno,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,Paraná (PR),Curitiba,25,24 - 29
"Entrar numa equipe nova durante a pandemia, conhecendo todos remotamente.",A empresa foi positivamente afetada (crescimento no período),Autonomia presente no homeoffice.,Empresa,Equipe que atende a outras áreas,CLT,CLT,7300,3300,Superior completo,De 1 a 3,Júnior,Analista,UX Designer,Masculino,Sim,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,25,24 - 29
Conciliar vida profissional com vida pessoal e saber a hora de me desligar do trabalho.,A empresa foi positivamente afetada (crescimento no período),Ter 100% de autonomia no meu horário de trabalho.,Start up,Equipe que atende a outras áreas,CLT,CLT,5500,3300,Especialização,De 1 a 3,Pleno,Analista,Outro (especifique),Masculino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,25,24 - 29
"Ficar sem o contato humano com o time, descontrações. Além disso, no Home-office parece que trabalhamos ainda mais e fazemos muitas reuniões em sequência.",Não sei responder / não tenho visibilidade,Flexibilidade de horários. Poder trabalhar de casa ou outro lugar (trabalho remoto). Não ser obrigatório comparecimento presencial no escritório.,Agência ou consultoria,Modelo híbrido / Cross: squads e visão central,CLT,CLT,4200,3132,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Negro,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,25,24 - 29
,A empresa foi levemente afetada (perda de receita de até 15%),,Empresa,Equipe que atende a outras áreas,CLT,CLT,4500,3000,Especialização,De 1 a 3,Júnior,Analista,UI Designer,Masculino,Não,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,25,24 - 29
,A empresa foi gravemente afetada (perda de receita superior a 50%),,Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3000,3000,Superior completo,De 1 a 3,Júnior,Analista,Designer de produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,25,24 - 29
Realizar workshops e entrevistas online,A empresa foi levemente afetada (perda de receita de até 15%),"Autonomia com responsabilidade, workshop parcialmente remoto, entrevistas remotas e validações remotas",Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3900,3000,Ensino médio completo / superior incompleto,De 1 a 3,Pleno,Analista,UX Designer,Feminino,Não,Não,Não,Pardo,Não tenho,Não,Goiás (GO),Aparecida de Goiânia,25,24 - 29
Estabelecer uma rotina.  Sentimento de solidão.,Não sei responder / não tenho visibilidade,um ou dois dias de home office por semana fariam bem a minha produtividade.,Freelancer,,Freelancer ou independente,Freelancer,3000,3000,Ensino médio completo / superior incompleto,De 1 a 3,Trabalho de forma independente ou como freelancer,Freelancer,Freelancer,Masculino,Sim,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,25,24 - 29
Fazer coisas a tempo na rapidez que o período de pandemia pedia.,A empresa foi afetada de forma relevante (perda de receita entre 15% e 50%),"nossa, estar em casa é muito bom. quero manter o silencio que é estar em casa, o meu espaço de concentração, sem me preocupar com o colega da baia ao lado. ",Start up,Não temos um time,CLT,CLT,2900,2900,Superior completo,De 1 a 3,Outro (especifique),Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
Começar em um trabalho novo e não conhecer nem ter contato pessoalmente com ninguém dos meus colegas. No dia a dia isso faz diferença.,A empresa foi levemente afetada (perda de receita de até 15%),A proximidade com a família e menos horas de deslocamento ao trabalho.,Start up,O time é uma banda de uma pessoa só,CLT,CLT,6000,2900,Especialização,De 1 a 3,Pleno,Analista,UX Designer,Feminino,Não,Não,Não,Indígena,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
,A empresa foi positivamente afetada (crescimento no período),,Agência ou consultoria,Modelo híbrido / Cross: squads e visão central,CLT,CLT,4200,2800,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,Paraná (PR),Londrina,25,24 - 29
A perda de convivência e a amizade no ambiente de trabalho,A empresa foi positivamente afetada (crescimento no período),Estudo focado com os cursos online,Empresa,Modelo híbrido / Cross: squads e visão central,CLT,CLT,5400,2700,Especialização,De 1 a 3,Júnior,Analista,UX Designer,Masculino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
Lidar com a desconfiança da gerencia de que estando em casa eu não trabalharia direito.,A empresa foi gravemente afetada (perda de receita superior a 50%),"Não mudou muita coisa, assim que acabou o lockdown a empresa fez os funcionarios voltarem para o escritório. ",Empresa,Não temos um time,CLT,CLT,2800,2700,Superior completo,Menos de 1,Júnior,Analista,Designer de produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
,A empresa foi levemente afetada (perda de receita de até 15%),,Start up,Equipe que atende a outras áreas,CLT,CLT,3500,2700,Especialização,Menos de 1,Pleno,Analista,Designer de produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Balneário Camboriú,25,24 - 29
"Dividir o horário do trabalho com as tarefas domesticas. Por exemplo: tenho uma hora de almoço que se torna inviável caso queria fazer a comida, almoçar e lavar a louça. ",Não sei responder / não tenho visibilidade,,Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),CLT,CLT,3300,2700,Superior completo,De 1 a 3,Pleno,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Não,Não,Não,Negro,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
,A empresa foi positivamente afetada (crescimento no período),,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3500,2600,Superior completo,De 1 a 3,Júnior,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,25,24 - 29
me esforçar para não trabalhar tantas horas como eu estava trabalhando no começo da pandemia,Não sei responder / não tenho visibilidade,trabalho remoto,Empresa,Modelo híbrido / Cross: squads e visão central,Estagiário,Estagiário,2500,2500,Ensino médio completo / superior incompleto,De 1 a 3,Estagiário(a),Analista,UX Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
Emocional.,A empresa foi levemente afetada (perda de receita de até 15%),"Home office, calls com os colegas.",Agência ou consultoria,Equipe que atende a outras áreas,CLT,CLT,3800,2500,Mestrado,De 1 a 3,Pleno,Analista,Designer de produto,Masculino,Sim,Não,Não,Pardo,Não tenho,Não,Pernambuco (PE),Olinda,25,24 - 29
Alinhamentos com as Equipes e burocratização do trabalho.,A empresa foi positivamente afetada (crescimento no período),Escritório separado do ambiente de lazer.,Agência ou consultoria,Modelo híbrido / Cross: squads e visão central,PJ com benefícios,PJ,3900,2400,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Outro ou não binário,Sim,Não,Não,Pardo,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
"concentração, trabalhar o tanto de horas que sou contratada (as vezes queria trabalhar menos e outros dias queria trabalhar mais horas)",A empresa foi positivamente afetada (crescimento no período),não ter que me deslocar até o trabalho todos os dias,Agência ou consultoria,Modelo híbrido / Cross: squads e visão central,PJ com benefícios,PJ,2800,2300,Superior completo,De 1 a 3,Júnior,Analista,UX Designer,Feminino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
,A empresa foi positivamente afetada (crescimento no período),Possibilidade de trabalhar em casa pelo menos alguns dias,Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),CLT,CLT,3000,2300,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,25,24 - 29
"Ansiedade, motivação e engajamento. ",Não sei responder / não tenho visibilidade,"Home office, rotina mais saudável e com mais tempo para fazer coisas que me dão prazer. ",Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,5000,2200,Superior completo,De 1 a 3,Pleno,Analista,UI Designer,Masculino,Sim,Não,Não,Asiático,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
Alinhar os projetos com todos os envolvidos,A empresa foi positivamente afetada (crescimento no período),Mais autonomia no dia a dia e flexibilidade de horário,Empresa,Equipe que atende a outras áreas,CLT,CLT,3600,2200,Superior completo,De 1 a 3,Pleno,Analista,UX Designer,Masculino,Não,Não,Não,Branco,Não tenho,Não,Maranhão (MA),São Luís,25,24 - 29
Os gastos em casa ficaram mais caros.,Não sei responder / não tenho visibilidade,home office,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,2750,2100,Superior completo,De 1 a 3,Líder técnico ou especialista,Liderança,UI Designer,Feminino,Sim,Não,Não,Pardo,Não tenho,Não,Minas Gerais (MG),Contagem,25,24 - 29
"Manter uma rotina saudável (trabalho, atividades físicas, alimentação, cuidados da casa, descanso, lazer, etc). Se tornou muito comum perder a noção do tempo e da situação fora de casa.",A empresa foi positivamente afetada (crescimento no período),"Trabalho 100% remoto. É muito bom trabalhar com pessoas tão diferentes e de tudo canto do Brasil. Além disso, é muito bom ter flexibilidade de horários para resolver outros assuntos em horário comercial.",Agência ou consultoria,Equipe que atende a outras áreas,PJ,PJ,5000,2045,Superior completo,De 4 a 5,Pleno,Analista,Designer de produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,Mato Grosso (MT),Cuiabá,25,24 - 29
"Problemas de saúde mental, e consequentemente, baixíssimo foco e produtividade",Não sei responder / não tenho visibilidade,"Trabalhar home office de vez em quando, almoçar em casa, tomar um banho ao acordar, terapia e pilates",Outro,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4600,2000,Especialização,De 1 a 3,Júnior,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Campinas,25,24 - 29
"nenhum impeditivo.  o maior desafio é mais material mesmo, em questão do computador da empresa. estou usando outro.",Não sei responder / não tenho visibilidade,homeoffice e autonomia no trabalho.  calls  e-mails.,Agência ou consultoria,Modelo híbrido / Cross: squads e visão central,CLT,CLT,2000,2000,Superior completo,Menos de 1,Júnior,Analista,Outro (especifique),Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
Perdi meu emprego no começo da pandemia,Não sei responder / não tenho visibilidade,"Liberdade de escolher quando trabalho de casa ou quando vou para outro lugar, posso trabalhar de qualquer lugar que tenha internet.",Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,8100,2000,Superior completo,De 4 a 5,Pleno,Analista,Designer de produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Rio Grande do Sul (RS),São Leopoldo,25,24 - 29
Procurar um novo trabalho como UX designer,Não sei responder / não tenho visibilidade,"Trabalho home office, pelo menos por 2x na semana. Liberdade de tempo para trabalhar.",Empresa,Modelo híbrido / Cross: squads e visão central,PJ,PJ,4000,2000,Mestrado,Menos de 1,Pleno,Analista,UX Designer,Masculino,Não,Não,Não,Pardo,Não tenho,Não,Não moro no Brasil,Lisboa,25,24 - 29
"Lidar com a ansiedade em relação a minha carreira, uma vez que estou em transição para UX.",Não sei responder / não tenho visibilidade,"Os estudos constantes, no home office tive mais tempo para ler e realizar cursos ",Empresa,Não temos um time,CLT,CLT,1900,1900,Ensino médio completo / superior incompleto,Menos de 1,Júnior,Analista,CX / Operações / Suporte,Masculino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
,A empresa foi positivamente afetada (crescimento no período),,Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),CLT,CLT,7000,1800,Superior completo,De 1 a 3,Pleno,Analista,Redator / UX Writer,Outro ou não binário,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Campinas,25,24 - 29
Disciplina,A empresa foi positivamente afetada (crescimento no período),Home Office,Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3000,1800,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,25,24 - 29
Adaptar meu espaço em casa para ter uma boa produtividade. A empresa não se preocupou em fornecer equipamentos adequados.,A empresa foi positivamente afetada (crescimento no período),O trabalho remoto,Empresa,O time é uma banda de uma pessoa só,CLT,CLT,2600,1800,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Piracicaba,25,24 - 29
pesquisar e implementar novas coisas,A empresa foi positivamente afetada (crescimento no período),aproveito melhor o tempo no dia,Start up,O time é uma banda de uma pessoa só,PJ com benefícios,PJ,3600,1500,Superior completo,De 1 a 3,Júnior,Analista,Designer de produto,Feminino,Não,Não,Não,Prefiro não dizer,Não tenho,Não,Rio Grande do Sul (RS),Canoas,25,24 - 29
,Não sei responder / não tenho visibilidade,Home office,Agência ou consultoria,Não temos um time,CLT,CLT,1500,1500,Superior completo,Menos de 1,Pleno,Analista,Freelancer,Feminino,Não,Não,Não,Pardo,Não tenho,Não,São Paulo (SP),São Vicente,25,24 - 29
falta de concentração,A empresa foi positivamente afetada (crescimento no período),Autonomia,Start up,O time é uma banda de uma pessoa só,PJ,PJ,2500,1300,Superior completo,Menos de 1,Júnior,Analista,UX Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,25,24 - 29
Desligar-se após o horário,A empresa foi positivamente afetada (crescimento no período),"Continuar em home office, visto que o deslocamento é muito penoso pra mim",Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),PJ,PJ,2000,1300,Especialização,Menos de 1,Júnior,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,Rio Grande do Sul (RS),Pelotas,25,24 - 29
"Adaptar rituais e hábitos que haviam necessidade de sair de casa para dentro, incluindo o trabalho",A empresa foi levemente afetada (perda de receita de até 15%),"Trabalhar em casa em um geral é a mudança que eu mais quero manter, dentro dela existem vários hábitos que só são possíveis realizar caso não tenha o tempo do transporte",Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4300,1200,Superior completo,De 4 a 5,Júnior,Analista,Designer de produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,25,24 - 29
Concentrar no trabalho enquanto o mundo está pegando fogo lá fora,A empresa foi positivamente afetada (crescimento no período),"Poder ficar em casa em dias de chuva (aqui em Belo Horizonte as ruas costumam alagar), poder fazer comida em casa.",Empresa,Equipe que atende a outras áreas,CLT,CLT,4237,1200,Superior completo,Menos de 1,Júnior,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,25,24 - 29
Comunicação entre os meus colegas de trabalho,A empresa foi positivamente afetada (crescimento no período),Nenhuma,Empresa,É distribuído em diferentes squads / grupos / equipes,Estagiário,Estagiário,1100,1100,Ensino médio completo / superior incompleto,De 4 a 5,Estagiário(a),Analista,UX Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,Rio de Janeiro (RJ),Rio de Janeiro,25,24 - 29
Realizei uma transição de carreira. Foram 5 meses até o ingresso no mercado,Não sei responder / não tenho visibilidade,Ter alguns dias de trabalho em casa. Cuidar mais da saúde,Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),CLT,CLT,4000,1000,Superior completo,De 1 a 3,Júnior,Analista,UX Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,Rio de Janeiro (RJ),Rio de Janeiro,25,24 - 29
"Como não possui um ambiente próprio para trabalho, acabo ficando no mesmo cômodo o dia todo e isso acaba afetando minha motivação e concentração",A empresa foi positivamente afetada (crescimento no período),"Gosto da flexibilidade que o home office trás, de ter mais tempo para cuidar da minha casa e alimentação e mais proximidade com o pet <3",Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3200,1000,Superior completo,De 1 a 3,Júnior,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,25,24 - 29
A falta de contato e conversas espontaneas.,A empresa foi positivamente afetada (crescimento no período),Home office,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3732,900,Superior completo,De 1 a 3,Júnior,Analista,UI Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Blumenau,25,24 - 29
"conseguir um emprego, pois estava desempregada, e adaptar os horários de estudo e trabalho sem ter uma divisão clara de espaços para cada atividade",Não sei responder / não tenho visibilidade,,Empresa,Não temos um time,Estagiário,Estagiário,,800,Superior completo,Menos de 1,Júnior,Analista,Freelancer,Feminino,Não,Não,Não,Pardo,Não tenho,Não,Paraná (PR),Curitiba,25,24 - 29
Redução das equipes dentro da empresa,Não sei responder / não tenho visibilidade,Home office alguns dias na semana,Agência ou consultoria,O time é uma banda de uma pessoa só,CLT,CLT,1400,700,Ensino médio completo / superior incompleto,De 1 a 3,Júnior,Analista,UI Designer,Masculino,Não,Não,Não,Pardo,Não tenho,Não,Ceará (CE),Fortaleza,25,24 - 29
Espaço dentro de casa para conseguir me concentrar e separar local de trabalho x de descanso,A empresa foi positivamente afetada (crescimento no período),A organização e o dinamismo que o trabalho remoto me trouxe.,Agência ou consultoria,Equipe que atende a outras áreas,Estagiário,Estagiário,800,600,Superior completo,Menos de 1,Júnior,Analista,UX Designer,Masculino,Sim,Não,Não,Branco,Não tenho,Não,Rio Grande do Sul (RS),Bagé,25,24 - 29
"Após a colação de grau em janeiro, conseguir um emprego, ou até mesmo freelancer",A empresa foi levemente afetada (perda de receita de até 15%),"O home-office, ou jornada com horário flexível  ",Agência ou consultoria,Não temos um time,CLT,CLT,1210,500,Superior completo,Menos de 1,Júnior,Analista,Outro (especifique),Feminino,Não,Não,Não,Branco,Não tenho,Não,Paraíba (PB),Campina Grande,25,24 - 29
